itrial,d,method,coverage,width
14,5,jackknife-mm,0.95,3.9880319448286183
14,5,CV+,0.94,3.905950787493527
14,5,split,0.95,4.089316358368252
15,5,naive,0.93,3.528690861675744
15,5,jackknife,0.95,3.7032886140043253
15,5,jackknife+,0.95,3.693917776367432
15,5,jackknife-mm,0.95,3.8631676585469306
15,5,CV+,0.95,3.69466440566942
15,5,split,0.92,3.669372311611736
16,5,naive,0.94,3.5538132361995305
16,5,jackknife,0.94,3.869144903518652
16,5,jackknife+,0.94,3.839285892121997
16,5,jackknife-mm,0.95,4.026386140374655
16,5,CV+,0.94,3.8652384464644145
16,5,split,0.92,3.5807447578552716
17,5,naive,0.9,2.915410651543266
17,5,jackknife,0.9,3.039106107382388
17,5,jackknife+,0.9,3.0589840034451528
17,5,jackknife-mm,0.9,3.1738799283227355
17,5,CV+,0.9,3.043962634411338
17,5,split,0.91,3.1142376182976568
18,5,naive,0.81,2.8257724671209186
18,5,jackknife,0.83,2.9308255836582897
18,5,jackknife+,0.84,2.9492013486512065
18,5,jackknife-mm,0.86,3.068313434245994
18,5,CV+,0.85,3.0093324747302894
18,5,split,0.81,2.896168638179665
19,5,naive,0.87,3.154047214163276
19,5,jackknife,0.88,3.445026814575477
19,5,jackknife+,0.88,3.405631226479364
19,5,jackknife-mm,0.89,3.5699108828628554
19,5,CV+,0.88,3.461890888019647
19,5,split,0.88,3.379636564810389
20,5,naive,0.91,3.5227526365897845
20,5,jackknife,0.92,3.6538828319838887
20,5,jackknife+,0.92,3.626904650830341
20,5,jackknife-mm,0.94,3.802908532826759
20,5,CV+,0.92,3.6295321680743844
20,5,split,0.92,3.7964469025538143
21,5,naive,0.88,3.3595443211906466
21,5,jackknife,0.89,3.5204254259512697
21,5,jackknife+,0.89,3.5207952874440083
21,5,jackknife-mm,0.91,3.6925389416307643
21,5,CV+,0.9,3.5039957724246076
21,5,split,0.89,3.450715566405479
22,5,naive,0.87,3.255053519705249
22,5,jackknife,0.88,3.399982933465278
22,5,jackknife+,0.88,3.418704744644056
22,5,jackknife-mm,0.89,3.5667360265795676
22,5,CV+,0.88,3.4472465897439832
22,5,split,0.87,3.5497513577874287
23,5,naive,0.82,3.1988601239925574
23,5,jackknife,0.82,3.2604549308323114
23,5,jackknife+,0.82,3.277922013221201
23,5,jackknife-mm,0.86,3.413493803227149
23,5,CV+,0.83,3.3731549220600914
23,5,split,0.85,3.294093551137504
24,5,naive,0.95,3.1034487602333147
24,5,jackknife,0.95,3.2805933275640062
24,5,jackknife+,0.95,3.2786435003880667
24,5,jackknife-mm,0.95,3.4480774768804383
24,5,CV+,0.95,3.254241499826068
24,5,split,0.97,3.7728903028044076
25,5,naive,0.91,3.3055366377031623
25,5,jackknife,0.93,3.407369920216104
25,5,jackknife+,0.93,3.426442601403204
25,5,jackknife-mm,0.96,3.576061889134104
25,5,CV+,0.94,3.438239343239236
25,5,split,0.88,3.3601214181948147
26,5,naive,0.87,3.0108825355299134
26,5,jackknife,0.89,3.1099592027045646
26,5,jackknife+,0.89,3.121647413759376
26,5,jackknife-mm,0.9,3.256259927931919
26,5,CV+,0.89,3.166715154637124
26,5,split,0.91,3.6384640008069344
27,5,naive,0.87,3.4553718622628162
27,5,jackknife,0.89,3.536896615033449
27,5,jackknife+,0.89,3.540570086172956
27,5,jackknife-mm,0.9,3.685257601137748
27,5,CV+,0.86,3.3823290373079558
27,5,split,0.92,3.9454960209536396
28,5,naive,0.93,3.288854454454264
28,5,jackknife,0.93,3.4456387136601596
28,5,jackknife+,0.94,3.454295559186613
28,5,jackknife-mm,0.94,3.6008388272633214
28,5,CV+,0.94,3.3957372905214016
28,5,split,0.9,3.4093512728155315
29,5,naive,0.87,3.2094325754359976
29,5,jackknife,0.87,3.336566998812542
29,5,jackknife+,0.87,3.3174748490090287
29,5,jackknife-mm,0.91,3.463747667558133
29,5,CV+,0.87,3.2958656991738677
29,5,split,0.91,3.311149286507259
30,5,naive,0.95,3.453176572852201
30,5,jackknife,0.96,3.661392119260958
30,5,jackknife+,0.96,3.6471366306617488
30,5,jackknife-mm,0.97,3.8561394605462764
30,5,CV+,0.96,3.6613868939081646
30,5,split,0.98,3.820155034462973
31,5,naive,0.93,3.492987084289185
31,5,jackknife,0.93,3.5723034496137474
31,5,jackknife+,0.93,3.6218755850724365
31,5,jackknife-mm,0.93,3.738034279592471
31,5,CV+,0.94,3.678967210685629
31,5,split,0.9,3.5136737808166663
32,5,naive,0.97,3.4429559223894937
32,5,jackknife,0.97,3.6051178388239657
32,5,jackknife+,0.97,3.617210738936178
32,5,jackknife-mm,0.98,3.83812078367625
32,5,CV+,0.98,3.641098437130941
32,5,split,0.99,4.778186500306078
33,5,naive,0.81,3.082977242790355
33,5,jackknife,0.85,3.1920666765136536
33,5,jackknife+,0.86,3.239359729723148
33,5,jackknife-mm,0.88,3.3408677890912823
33,5,CV+,0.88,3.3789183040332347
33,5,split,0.8,2.9638097640174483
34,5,naive,0.92,3.384116179253584
34,5,jackknife,0.95,3.636092261737736
34,5,jackknife+,0.95,3.636478798430709
34,5,jackknife-mm,0.95,3.822496460167845
34,5,CV+,0.95,3.5938226508456923
34,5,split,0.95,3.9744333777724923
35,5,naive,0.9,3.52476958944241
35,5,jackknife,0.9,3.660195433972822
35,5,jackknife+,0.9,3.662882516598427
35,5,jackknife-mm,0.92,3.8564071737749623
35,5,CV+,0.94,4.064913721318406
35,5,split,0.93,4.106832072343656
36,5,naive,0.92,3.451446197804661
36,5,jackknife,0.93,3.5847216263935455
36,5,jackknife+,0.93,3.5786336388603592
36,5,jackknife-mm,0.94,3.7398587972163306
36,5,CV+,0.94,3.5803442742933487
36,5,split,0.91,3.4698636038908193
37,5,naive,0.86,3.134456126006295
37,5,jackknife,0.87,3.3612164618636062
37,5,jackknife+,0.87,3.342518131198414
37,5,jackknife-mm,0.88,3.5564652748109338
37,5,CV+,0.87,3.347785895068455
37,5,split,0.91,3.720154364333603
38,5,naive,0.8,2.923567205182039
38,5,jackknife,0.84,3.06172715772631
38,5,jackknife+,0.84,3.076453112215081
38,5,jackknife-mm,0.84,3.2404271796372894
38,5,CV+,0.81,3.0160373449900595
38,5,split,0.81,3.0448694959435363
39,5,naive,0.82,2.957899530208895
39,5,jackknife,0.87,3.1182257474791446
39,5,jackknife+,0.87,3.1153090339210614
39,5,jackknife-mm,0.88,3.264645140391433
39,5,CV+,0.84,3.1398941207633637
39,5,split,0.89,3.676176220529355
40,5,naive,0.81,2.7406502116069764
40,5,jackknife,0.82,2.8262621318552665
40,5,jackknife+,0.82,2.8618773306809517
40,5,jackknife-mm,0.82,2.9448743385683884
40,5,CV+,0.82,2.920329729129471
40,5,split,0.88,3.3575519914666243
41,5,naive,0.84,3.117227960768263
41,5,jackknife,0.86,3.277677365985603
41,5,jackknife+,0.86,3.291763395266512
41,5,jackknife-mm,0.88,3.4634463865525564
41,5,CV+,0.85,3.1796549199840696
41,5,split,0.9,3.5372076695564783
42,5,naive,0.9,3.2362313645898233
42,5,jackknife,0.92,3.5541433812615595
42,5,jackknife+,0.93,3.530569581533626
42,5,jackknife-mm,0.94,3.710054823390284
42,5,CV+,0.91,3.508987392432388
42,5,split,0.92,3.6070779130811066
43,5,naive,0.78,2.7677132603388515
43,5,jackknife,0.83,3.0538445494552264
43,5,jackknife+,0.83,3.055958456277635
43,5,jackknife-mm,0.88,3.2278725008801685
43,5,CV+,0.85,3.19824274061373
43,5,split,0.78,2.75844557613511
44,5,naive,0.87,2.9518334401689073
44,5,jackknife,0.89,3.0863327152094815
44,5,jackknife+,0.89,3.1408285011285106
44,5,jackknife-mm,0.9,3.2582135514095514
44,5,CV+,0.94,3.381275257286043
44,5,split,0.94,3.506156751155654
45,5,naive,0.92,3.4639041693628143
45,5,jackknife,0.93,3.564836032024658
45,5,jackknife+,0.93,3.5735910208403556
45,5,jackknife-mm,0.95,3.7074017587392256
45,5,CV+,0.92,3.5672890932101584
45,5,split,0.98,3.714772806679514
46,5,naive,0.86,3.0607141714660657
46,5,jackknife,0.88,3.1995761687300854
46,5,jackknife+,0.86,3.1786564961666466
46,5,jackknife-mm,0.89,3.3429744032067576
46,5,CV+,0.86,3.149580735656294
46,5,split,0.9,3.756399557901547
47,5,naive,0.88,3.2438242857564
47,5,jackknife,0.91,3.5821778527457
47,5,jackknife+,0.91,3.570044209265078
47,5,jackknife-mm,0.95,3.787032643670758
47,5,CV+,0.91,3.627250360248354
47,5,split,0.9,3.670273579131375
48,5,naive,0.88,3.248138549459388
48,5,jackknife,0.88,3.3040698840858296
48,5,jackknife+,0.89,3.3157807253523965
48,5,jackknife-mm,0.91,3.4483825156212795
48,5,CV+,0.88,3.2969978830032898
48,5,split,0.88,3.5970355974447012
49,5,naive,0.96,3.643684325964997
49,5,jackknife,0.97,3.8573277541766875
49,5,jackknife+,0.97,3.8692604155448294
49,5,jackknife-mm,0.97,4.048516479172862
49,5,CV+,0.97,3.8721630589131046
49,5,split,0.97,4.098262482960871
0,10,naive,0.84,3.0581341212681536
0,10,jackknife,0.87,3.302026440039065
0,10,jackknife+,0.89,3.3586384626373365
0,10,jackknife-mm,0.9,3.5353737255282325
0,10,CV+,0.89,3.4885966173233034
0,10,split,0.79,3.134848676813748
1,10,naive,0.88,3.2954157431933684
1,10,jackknife,0.92,3.4528074761335636
1,10,jackknife+,0.92,3.4820709201696185
1,10,jackknife-mm,0.93,3.6777439022951937
1,10,CV+,0.92,3.5334654781415975
1,10,split,0.92,3.613620034938772
2,10,naive,0.82,2.8578938807653547
2,10,jackknife,0.89,3.18320495233373
2,10,jackknife+,0.88,3.2086137224002322
2,10,jackknife-mm,0.9,3.4134537083189658
2,10,CV+,0.89,3.255979402633439
2,10,split,0.89,3.227065190315342
3,10,naive,0.92,3.7530585804122416
3,10,jackknife,0.97,4.080506171574687
3,10,jackknife+,0.98,4.065841605669705
3,10,jackknife-mm,0.99,4.371946921984772
3,10,CV+,0.98,4.074518198225607
3,10,split,0.93,3.8841402422009286
4,10,naive,0.84,3.055430226213028
4,10,jackknife,0.86,3.4753117185467928
4,10,jackknife+,0.86,3.483707161556795
4,10,jackknife-mm,0.89,3.7125668670516747
4,10,CV+,0.86,3.446670224363442
4,10,split,0.88,3.552666654139695
5,10,naive,0.85,3.0173775844834005
5,10,jackknife,0.88,3.3315142408061185
5,10,jackknife+,0.88,3.3695838899963335
5,10,jackknife-mm,0.9,3.573902286627161
5,10,CV+,0.87,3.302932375023632
5,10,split,0.89,3.3537098804077345
6,10,naive,0.85,3.0077340290479615
6,10,jackknife,0.9,3.4071384091357384
6,10,jackknife+,0.9,3.432478333437046
6,10,jackknife-mm,0.92,3.6323000183893406
6,10,CV+,0.89,3.3642260843114498
6,10,split,0.91,3.6694055121380678
7,10,naive,0.82,2.9846992176698395
7,10,jackknife,0.85,3.2745601328528893
7,10,jackknife+,0.85,3.2848198637015407
7,10,jackknife-mm,0.89,3.6220829137560457
7,10,CV+,0.87,3.3650769964107012
7,10,split,0.86,3.8638274581590077
8,10,naive,0.91,3.064877012746448
8,10,jackknife,0.95,3.4808481113125196
8,10,jackknife+,0.94,3.515127192057591
8,10,jackknife-mm,0.96,3.746015198989414
8,10,CV+,0.96,3.6423741289427727
8,10,split,0.96,4.257971379050278
9,10,naive,0.94,3.633684395594596
9,10,jackknife,0.97,4.051056398095479
9,10,jackknife+,0.96,4.036339604223283
9,10,jackknife-mm,0.98,4.3321589757416055
9,10,CV+,0.97,4.043761212637584
9,10,split,0.93,3.929031628398877
10,10,naive,0.87,3.070248008156722
10,10,jackknife,0.89,3.392283258441403
10,10,jackknife+,0.89,3.4236578797988146
10,10,jackknife-mm,0.91,3.6216282540243565
10,10,CV+,0.88,3.3573582837883067
10,10,split,0.9,3.322444312155235
11,10,naive,0.9,3.2528596496878053
11,10,jackknife,0.93,3.4972750317479235
11,10,jackknife+,0.94,3.527047642188517
11,10,jackknife-mm,0.95,3.740613479060991
11,10,CV+,0.94,3.577252894589063
11,10,split,0.95,4.2818599061780445
12,10,naive,0.94,3.4760273966040245
12,10,jackknife,0.96,3.838841335785199
12,10,jackknife+,0.96,3.7896035996275304
12,10,jackknife-mm,0.96,4.065037201392421
12,10,CV+,0.94,3.6255803116010377
12,10,split,0.91,3.5156282790645683
13,10,naive,0.88,3.5535952869933563
13,10,jackknife,0.92,3.797260944330801
13,10,jackknife+,0.92,3.8429171098422206
13,10,jackknife-mm,0.94,4.053169995238113
13,10,CV+,0.92,4.001710588706141
13,10,split,0.9,3.628179836840831
14,10,naive,0.9,3.162639296630616
14,10,jackknife,0.92,3.4536445547419032
14,10,jackknife+,0.93,3.5262785675669672
14,10,jackknife-mm,0.94,3.7346313906898443
14,10,CV+,0.94,3.584963095421473
14,10,split,0.94,4.9185561246583385
15,10,naive,0.85,3.2021172825013995
15,10,jackknife,0.9,3.54163308891244
15,10,jackknife+,0.9,3.6103004684739495
15,10,jackknife-mm,0.93,3.908456523504434
15,10,CV+,0.91,3.6824384884801225
15,10,split,0.87,3.7254215553515464
16,10,naive,0.97,3.616405285583539
16,10,jackknife,0.98,4.0057911651056255
16,10,jackknife+,0.98,4.0198628641675835
16,10,jackknife-mm,0.99,4.329828339983312
16,10,CV+,0.99,4.093528201518317
16,10,split,0.92,3.5630884645740344
17,10,naive,0.91,3.2736832483359875
17,10,jackknife,0.91,3.4928655633774746
17,10,jackknife+,0.91,3.481822829023797
17,10,jackknife-mm,0.92,3.781955471511297
17,10,CV+,0.92,3.59130247059646
17,10,split,0.87,3.2251598034667937
18,10,naive,0.81,2.9680579959353484
18,10,jackknife,0.88,3.3264498715997513
18,10,jackknife+,0.89,3.3218344362942736
18,10,jackknife-mm,0.91,3.581705205715447
18,10,CV+,0.89,3.3899762079744953
18,10,split,0.92,3.9662361996324544
19,10,naive,0.85,2.7983284351437634
19,10,jackknife,0.87,3.128784443782647
19,10,jackknife+,0.87,3.099762414231583
19,10,jackknife-mm,0.87,3.343496447483286
19,10,CV+,0.87,3.185161507994638
19,10,split,0.88,3.403674272725097
20,10,naive,0.84,3.084692302037149
20,10,jackknife,0.85,3.37655926077775
20,10,jackknife+,0.85,3.3688584700131026
20,10,jackknife-mm,0.86,3.592422496242372
20,10,CV+,0.85,3.4154340527140494
20,10,split,0.92,4.013262154744351
21,10,naive,0.86,3.581504015441668
21,10,jackknife,0.92,3.9155149611999924
21,10,jackknife+,0.92,3.9495894729864274
21,10,jackknife-mm,0.95,4.198305165876216
21,10,CV+,0.93,4.032165990164833
21,10,split,0.88,3.8482618544607887
22,10,naive,0.85,3.166857629293277
22,10,jackknife,0.89,3.4469309326637836
22,10,jackknife+,0.88,3.4366212412119013
22,10,jackknife-mm,0.94,3.6993652685746805
22,10,CV+,0.89,3.5133239664940867
22,10,split,0.94,3.747615778971977
23,10,naive,0.81,3.1187877630960896
23,10,jackknife,0.85,3.4883657047993757
23,10,jackknife+,0.86,3.5295924192202595
23,10,jackknife-mm,0.88,3.7152260327187183
23,10,CV+,0.86,3.6199899953698997
23,10,split,0.87,3.8301990110646944
24,10,naive,0.85,3.414342815369697
24,10,jackknife,0.9,3.762312738215087
24,10,jackknife+,0.89,3.8031566642932018
24,10,jackknife-mm,0.96,4.044312737854752
24,10,CV+,0.9,3.7467795745572086
24,10,split,0.91,4.003569929298352
25,10,naive,0.89,3.2726245441394495
25,10,jackknife,0.91,3.6322630628283856
25,10,jackknife+,0.91,3.6675833037810808
25,10,jackknife-mm,0.91,3.876478294745606
25,10,CV+,0.91,3.725180833285645
25,10,split,0.94,4.380455088958477
26,10,naive,0.87,3.261154801115591
26,10,jackknife,0.96,3.658740485390788
26,10,jackknife+,0.96,3.685304541724378
26,10,jackknife-mm,0.97,3.914881250381894
26,10,CV+,0.96,3.7442634040822043
26,10,split,0.97,4.541411953651302
27,10,naive,0.88,3.1366211152426957
27,10,jackknife,0.91,3.5257994988499295
27,10,jackknife+,0.91,3.485786432860563
27,10,jackknife-mm,0.93,3.810781562202917
27,10,CV+,0.91,3.6049465839686774
27,10,split,0.93,4.1032438704806875
28,10,naive,0.91,3.012973493157132
28,10,jackknife,0.98,3.5283217352370766
28,10,jackknife+,0.98,3.5166872804660465
28,10,jackknife-mm,0.99,3.7714977347087157
28,10,CV+,0.99,3.530176194206936
28,10,split,0.94,3.57137211321138
29,10,naive,0.83,3.2220251548970604
29,10,jackknife,0.88,3.716970252756455
29,10,jackknife+,0.88,3.7446973639008654
29,10,jackknife-mm,0.91,4.002075913956102
29,10,CV+,0.88,3.668562631666225
29,10,split,0.91,3.9118694998683736
30,10,naive,0.84,3.0556433535529868
30,10,jackknife,0.9,3.467133800039335
30,10,jackknife+,0.9,3.4381092703315943
30,10,jackknife-mm,0.92,3.6933190007692165
30,10,CV+,0.9,3.4416482979855108
30,10,split,0.96,3.90343796612192
31,10,naive,0.87,3.6611171975214596
31,10,jackknife,0.91,3.942029103917585
31,10,jackknife+,0.9,3.946495322967465
31,10,jackknife-mm,0.92,4.202966582928942
31,10,CV+,0.88,3.8577173485319363
31,10,split,0.9,3.8785487071583855
32,10,naive,0.88,3.2550218404280717
32,10,jackknife,0.93,3.5564796189963657
32,10,jackknife+,0.94,3.5924001213523518
32,10,jackknife-mm,0.94,3.807425541229774
32,10,CV+,0.94,3.550442067380006
32,10,split,0.95,4.052533007914362
33,10,naive,0.87,3.456619964340358
33,10,jackknife,0.89,3.706132779900733
33,10,jackknife+,0.9,3.7013640278905195
33,10,jackknife-mm,0.93,3.938429846994022
33,10,CV+,0.9,3.7586554065650484
33,10,split,0.92,4.70185967003066
34,10,naive,0.81,3.2780353655275007
34,10,jackknife,0.92,3.7482047966867706
34,10,jackknife+,0.92,3.706666858501551
34,10,jackknife-mm,0.95,4.014235786092441
34,10,CV+,0.91,3.6915857153376606
34,10,split,0.87,3.8397992913457824
35,10,naive,0.87,3.1093309402249054
35,10,jackknife,0.89,3.5177582638039815
35,10,jackknife+,0.9,3.5514753105430064
35,10,jackknife-mm,0.93,3.754671297337056
35,10,CV+,0.9,3.583444345180066
35,10,split,0.95,3.972845257615021
36,10,naive,0.87,3.476193338784516
36,10,jackknife,0.89,3.752807352352889
36,10,jackknife+,0.89,3.7761124264414208
36,10,jackknife-mm,0.91,4.011859138010912
36,10,CV+,0.9,3.8429650613687856
36,10,split,0.92,3.8160712594749655
37,10,naive,0.86,2.7957835143306617
37,10,jackknife,0.9,3.0574348033591185
37,10,jackknife+,0.9,3.064968539418434
37,10,jackknife-mm,0.9,3.2746937563934586
37,10,CV+,0.9,3.1611753106620055
37,10,split,0.88,2.917933165441301
38,10,naive,0.94,3.624246716018604
38,10,jackknife,0.97,4.052801617776368
38,10,jackknife+,0.98,4.080058111164471
38,10,jackknife-mm,1.0,4.366745792355873
38,10,CV+,0.98,4.193385548077636
38,10,split,0.95,4.332509427526199
39,10,naive,0.91,3.112677036928965
39,10,jackknife,0.92,3.379476113999009
39,10,jackknife+,0.93,3.4422442439806566
39,10,jackknife-mm,0.93,3.625803431449226
39,10,CV+,0.91,3.2856466423674466
39,10,split,0.95,3.6114820657579467
40,10,naive,0.87,3.2371278388326243
40,10,jackknife,0.88,3.5965825936186633
40,10,jackknife+,0.88,3.6116600407773802
40,10,jackknife-mm,0.92,3.9122782732780537
40,10,CV+,0.89,3.7619467938663576
40,10,split,0.94,4.5183893455503235
41,10,naive,0.92,3.3304473296521553
41,10,jackknife,0.95,3.592284912173682
41,10,jackknife+,0.95,3.5950351507625804
41,10,jackknife-mm,0.95,3.8550890878061814
41,10,CV+,0.95,3.6618019992218818
41,10,split,0.94,4.18630957042528
42,10,naive,0.88,3.0866435832818513
42,10,jackknife,0.88,3.353421630681934
42,10,jackknife+,0.88,3.3680019227854485
42,10,jackknife-mm,0.9,3.604876526638227
42,10,CV+,0.88,3.374090208239344
42,10,split,0.89,3.5749304075505255
43,10,naive,0.86,2.9670153911314503
43,10,jackknife,0.91,3.3078350287957345
43,10,jackknife+,0.9,3.300043256312751
43,10,jackknife-mm,0.92,3.5431577973966313
43,10,CV+,0.89,3.303526527084133
43,10,split,0.95,3.9921473814629733
44,10,naive,0.85,2.775493163515207
44,10,jackknife,0.9,3.1450236432692726
44,10,jackknife+,0.89,3.1019022872069244
44,10,jackknife-mm,0.9,3.3616042530329726
44,10,CV+,0.9,3.165103732570308
44,10,split,0.94,3.8269779402166955
45,10,naive,0.88,3.0540649060838687
45,10,jackknife,0.92,3.455392368837445
45,10,jackknife+,0.92,3.4547544953118825
45,10,jackknife-mm,0.94,3.7185170218589416
45,10,CV+,0.92,3.4615368064332377
45,10,split,0.94,3.9948151514415713
46,10,naive,0.95,3.818017846015159
46,10,jackknife,0.96,4.130988598253707
46,10,jackknife+,0.96,4.193171429675388
46,10,jackknife-mm,0.98,4.459484597786996
46,10,CV+,0.96,4.3104198170407475
46,10,split,0.97,5.736899156897521
47,10,naive,0.84,3.048571223677882
47,10,jackknife,0.89,3.701023809707982
47,10,jackknife+,0.87,3.625691611634866
47,10,jackknife-mm,0.93,3.967925189132878
47,10,CV+,0.9,3.7068960714412946
47,10,split,0.92,3.9829166584294113
48,10,naive,0.85,3.369855460889211
48,10,jackknife,0.9,3.7140149107884213
48,10,jackknife+,0.91,3.715626154094805
48,10,jackknife-mm,0.91,3.978028936767771
48,10,CV+,0.93,3.7976232436906243
48,10,split,0.87,3.8127977678485765
49,10,naive,0.87,3.319116208929082
49,10,jackknife,0.89,3.6292832542366282
49,10,jackknife+,0.9,3.6428661578378865
49,10,jackknife-mm,0.94,3.8943134110489495
49,10,CV+,0.88,3.584447727303319
49,10,split,0.89,3.7701643038423636
0,15,naive,0.84,2.9066341424895166
0,15,jackknife,0.91,3.46754168616484
0,15,jackknife+,0.91,3.443789141332774
0,15,jackknife-mm,0.92,3.7544820085266077
0,15,CV+,0.92,3.587682337227028
0,15,split,0.94,3.811951987020684
1,15,naive,0.81,3.3313907282326727
1,15,jackknife,0.84,3.7504460314216637
1,15,jackknife+,0.84,3.6959758729897367
1,15,jackknife-mm,0.88,4.061192100621603
1,15,CV+,0.83,3.730878067682508
1,15,split,0.86,3.6779544047428714
2,15,naive,0.87,3.5742534714315046
2,15,jackknife,0.94,4.412073941486078
2,15,jackknife+,0.93,4.370842812492193
2,15,jackknife-mm,0.96,4.769257223321339
2,15,CV+,0.94,4.419462010492658
2,15,split,0.85,4.032523706161179
3,15,naive,0.77,2.930537050682691
3,15,jackknife,0.87,3.385434609549444
3,15,jackknife+,0.88,3.4056340248731702
3,15,jackknife-mm,0.94,3.724421150472848
3,15,CV+,0.93,3.6219335653234945
3,15,split,0.97,4.869839864043838
4,15,naive,0.84,3.108262708073496
4,15,jackknife,0.89,3.656020103023819
4,15,jackknife+,0.89,3.6743007370752685
4,15,jackknife-mm,0.92,4.008301346415462
4,15,CV+,0.92,3.8087418626926985
4,15,split,0.9,3.6255430318802984
5,15,naive,0.85,3.2893624706385847
5,15,jackknife,0.9,3.7839233358090194
5,15,jackknife+,0.9,3.7489378585253235
5,15,jackknife-mm,0.93,4.12319394593537
5,15,CV+,0.91,3.90858137499962
5,15,split,0.87,3.7237056868326532
6,15,naive,0.87,3.010450421742929
6,15,jackknife,0.93,3.451896955267698
6,15,jackknife+,0.93,3.453449289968816
6,15,jackknife-mm,0.94,3.765015206348774
6,15,CV+,0.93,3.431408318324157
6,15,split,0.89,3.340410057377235
7,15,naive,0.83,3.1150174896760636
7,15,jackknife,0.89,3.7003868326312475
7,15,jackknife+,0.89,3.729879255804461
7,15,jackknife-mm,0.91,4.076375893760949
7,15,CV+,0.89,3.7843141841503893
7,15,split,0.91,3.948723694645842
8,15,naive,0.91,3.2594787577850797
8,15,jackknife,0.93,3.5755098133617778
8,15,jackknife+,0.96,3.6830657500285553
8,15,jackknife-mm,0.97,3.918300059387625
8,15,CV+,0.95,3.8268808826670635
8,15,split,0.93,3.4976417986543957
9,15,naive,0.85,2.7585844861107813
9,15,jackknife,0.94,3.4330625312299903
9,15,jackknife+,0.95,3.4624259186271753
9,15,jackknife-mm,0.95,3.7394745042384896
9,15,CV+,0.94,3.4110526717792102
